angleToTrackAxis,trackPosition,11Sensor,rxSensor,ctrSensor,sxSensor,7Sensor,xSpeed,ySpeed,class
0.003085,0.003337,0.138386,0.162575,0.198843,0.258473,0.373241,-0.000003,0.000014,0
0.003085,0.003337,0.138386,0.162575,0.198843,0.258473,0.373241,-0.000003,0.000014,1
0.003085,0.003337,0.138386,0.162575,0.198843,0.258473,0.373241,-0.000003,0.000014,1
0.003085,0.003337,0.138386,0.162575,0.198843,0.258473,0.373241,-0.000003,0.000014,1
0.002606,0.003339,0.138753,0.163110,0.199682,0.259945,0.376408,0.004124,-0.000012,1
0.004000,0.003336,0.137730,0.161920,0.198250,0.258129,0.373910,0.029232,0.000060,1
0.007454,0.003319,0.135189,0.158930,0.194581,0.253340,0.366938,0.054301,0.000007,1
0.013094,0.003267,0.131032,0.154051,0.188623,0.245615,0.355835,0.083120,0.000024,1
0.021357,0.003142,0.124934,0.146875,0.179826,0.234134,0.339135,0.118668,0.000012,1
0.030520,0.002860,0.117919,0.139217,0.171496,0.225495,0.332824,0.170558,0.000952,5
0.040346,0.002387,0.110289,0.131205,0.163449,0.218911,0.335205,0.191324,0.001140,5
0.045140,0.001753,0.106026,0.128411,0.164365,0.230719,0.391922,0.213665,0.005748,5
0.014764,0.001459,0.141844,0.193360,0.307312,0.762440,1.000000,0.221576,0.002298,1
0.033314,0.001055,0.132794,0.181175,0.288464,0.720795,1.000000,0.232903,0.000000,1
0.040638,0.000366,0.130605,0.182250,0.305297,0.962370,0.771205,0.243180,0.001218,5
0.033479,-0.000297,0.131799,0.190249,0.346592,1.000000,0.557200,0.253427,0.001199,5
0.022599,-0.000801,0.141912,0.218870,0.486271,1.000000,0.391919,0.263832,0.000181,1
0.021369,-0.001253,0.137056,0.213283,0.488948,1.000000,0.393680,0.275880,0.001017,5
0.013084,-0.001595,0.147309,0.246211,0.767015,0.942265,0.326841,0.286286,0.000976,5
0.007393,-0.001781,0.156878,0.279521,1.000000,0.690310,0.293092,0.297689,0.000048,1
0.007954,-0.001954,0.152240,0.269363,1.000000,0.720245,0.300872,0.310905,0.000119,1
0.007680,-0.002143,0.149291,0.265046,1.000000,0.721700,0.303904,0.325071,-0.000114,1
0.007188,-0.002330,0.146872,0.262375,1.000000,0.715305,0.305460,0.337489,-0.000034,0
0.007023,-0.002508,0.143822,0.257468,1.000000,0.719920,0.308845,0.331439,-0.000028,1
0.007076,-0.002683,0.140352,0.251089,1.000000,0.731815,0.313493,0.326755,-0.000002,1
0.007068,-0.002856,0.137046,0.245199,1.000000,0.741520,0.317723,0.324890,-0.000016,1
0.006601,-0.003030,0.134710,0.242482,1.000000,0.734980,0.318962,0.345331,-0.000085,1
0.007363,-0.003218,0.129504,0.230835,1.000000,0.773395,0.328648,0.370921,0.000056,1
0.006990,-0.003426,0.126279,0.226162,1.000000,0.771470,0.331266,0.392263,-0.000153,1
-0.000760,-0.003567,0.140832,0.284559,1.000000,0.568230,0.289069,0.418063,-0.000522,1
-0.003235,-0.003509,0.148753,0.315997,1.000000,0.520790,0.275852,0.444444,-0.000517,1
-0.004103,-0.003390,0.154024,0.333592,1.000000,0.502170,0.269479,0.472201,-0.000132,1
-0.003802,-0.003249,0.156405,0.336443,1.000000,0.501600,0.267977,0.500719,0.000074,1
-0.003827,-0.003095,0.160051,0.344481,1.000000,0.495374,0.264749,0.513529,0.000111,1
-0.003304,-0.002957,0.161626,0.343863,1.000000,0.498380,0.264263,0.532119,0.000077,1
0.003404,-0.002901,0.144546,0.272188,1.000000,0.632420,0.296609,0.551729,0.001804,1
0.003029,-0.003028,0.142862,0.270569,1.000000,0.628985,0.297406,0.571129,-0.000146,1
0.011898,-0.003259,0.120186,0.203331,0.676455,1.000000,0.363660,0.591143,0.002745,1
0.014379,-0.003848,0.105858,0.174711,0.510905,1.000000,0.402550,0.610462,0.000104,1
0.014573,-0.004548,0.093550,0.154114,0.446718,1.000000,0.424902,0.631581,0.000189,1
0.014794,-0.005227,0.081646,0.134225,0.385246,1.000000,0.447130,0.638076,0.000424,0
0.003526,-0.005797,0.085411,0.160537,0.819320,1.000000,0.364025,0.627833,-0.004169,0
0.002668,-0.005947,0.083551,0.159134,0.776510,0.988575,0.361587,0.618595,0.000496,0
0.002670,-0.006051,0.081403,0.155037,0.723070,0.925335,0.363961,0.609490,0.000804,0
0.002723,-0.006154,0.079217,0.150748,0.666680,0.858865,0.366653,0.591386,0.001144,3
0.003024,-0.006247,0.076911,0.145674,0.613530,0.797890,0.370853,0.563743,0.001344,3
0.003165,-0.006347,0.074690,0.141158,0.561540,0.737005,0.374128,0.537129,0.001379,0
0.003121,-0.006445,0.072738,0.137563,0.512840,0.678495,0.376057,0.529271,0.001394,0
0.003077,-0.006534,0.070964,0.134300,0.465031,0.620555,0.377844,0.514271,0.001696,3
0.003526,-0.006612,0.068835,0.129381,0.418712,0.566010,0.697795,0.490567,0.001919,0
0.003304,-0.006697,0.067376,0.127065,0.378290,0.515390,0.637875,0.484257,0.002333,2
-0.006957,-0.006568,0.084629,0.196911,0.388500,0.502280,0.627685,0.477924,0.000868,0
-0.007045,-0.006285,0.091760,0.211234,0.347853,0.452704,0.568155,0.472245,0.001829,0
-0.007196,-0.005994,0.099257,0.202090,0.307989,0.403563,0.507970,0.466873,0.002056,0
-0.007322,-0.005702,0.106785,0.183611,0.268425,0.354415,0.448155,0.461575,0.002010,2
